date,r_sim_MCM,r_obs_MCM
2003-01-01,9.54974882857143,10.227
2003-01-02,8.700218514285714,11.425
2003-01-03,8.50483314285714,8.563
2003-01-04,8.54561177142857,11.303
2003-01-05,7.84049354285714,11.23
2003-01-06,7.090636171428571,11.156
2003-01-07,5.773431028571427,11.181
2003-01-08,5.431841228571429,11.205
2003-01-09,5.129404485714285,11.132
2003-01-10,4.729370657142856,11.23
2003-01-11,4.242146714285711,11.377
2003-01-12,3.873397257142855,8.93
2003-01-13,3.8469990857142857,6.581
2003-01-14,3.3462130085714272,6.581
2003-01-15,3.255938579999998,4.893
2003-01-16,3.083495122857142,4.869
2003-01-17,2.935196322857142,4.869
2003-01-18,2.9119951514285702,3.915
2003-01-19,2.980097665714285,3.181
2003-01-20,3.2317081514285695,2.471
2003-01-21,3.538363784285714,2.447
2003-01-22,4.322027261428575,2.471
2003-01-23,4.87090044714286,2.471
2003-01-24,5.460097961428569,2.471
2003-01-25,8.415246261428567,2.471
2003-01-26,10.765187175714289,6.19
2003-01-27,12.81325211857143,6.141
2003-01-28,7.803390755714288,8.245
2003-01-29,7.044447927142857,10.985
2003-01-30,6.9025121985714275,11.034
2003-01-31,10.588504012857143,3.89
2003-02-01,10.593757141428584,0.122
2003-02-02,9.940618155714292,0.856
2003-02-03,8.213612341428586,5.652
2003-02-04,10.78544708571429,10.129
2003-02-05,9.83956365714286,10.129
2003-02-06,8.968691885714284,10.178
2003-02-07,8.086190400000001,10.227
2003-02-08,7.236155200000005,10.276
2003-02-09,6.572970742857145,8.196
2003-02-10,6.363151314285716,3.523
2003-02-11,1.4376874685714296,6.092
2003-02-12,1.4252998685714289,5.04
2003-02-13,1.4779006685714282,3.988
2003-02-14,1.5485062685714277,2.691
2003-02-15,1.6974550685714291,2.055
2003-02-16,2.000783868571428,0.979
2003-02-17,2.38699426857143,0.758
2003-02-18,0.6131635785714268,0.122
2003-02-19,1.2914922928571448,0.122
2003-02-20,1.670184650000002,0.122
2003-02-21,2.2500462928571454,0.122
2003-02-22,2.99131393571428,0.122
2003-02-23,3.4404743642857136,0.122
2003-02-24,3.396711221428567,0.122
2003-02-25,0.8407975414285715,0.122
2003-02-26,1.0387803557142825,0.122
2003-02-27,1.2595744985714288,0.122
2003-02-28,1.5990607414285674,0.318
2003-03-01,2.734869727142861,0.514
2003-03-02,5.835990555714285,0.563
2003-03-03,9.296725269999992,0.563
2003-03-04,3.813707771428572,0.734
2003-03-05,4.566369028571428,0.71
2003-03-06,5.140279485714286,1.125
2003-03-07,6.032533828571429,0.122
2003-03-08,7.197559142857143,0.122
2003-03-09,7.695403657142854,0.122
2003-03-10,7.66228622857143,0.122
2003-03-11,19.99254700857145,6.288
2003-03-12,18.36624340857144,14.312
2003-03-13,16.629544608571432,19.744
2003-03-14,14.006519208571431,22.631
2003-03-15,12.180440808571436,17.542
2003-03-16,11.651252808571444,14.802
2003-03-17,13.775474208571438,13.285
2003-03-18,9.615390037142856,10.716
2003-03-19,9.89096203714286,7.511
2003-03-20,10.374555108571425,7.242
2003-03-21,11.41099213714286,7.266
2003-03-22,12.409403808571422,8.025
2003-03-23,14.32793965142857,7.193
2003-03-24,12.860160865714294,11.377
2003-03-25,12.727777914285712,12.649
2003-03-26,11.673885114285715,15.976
2003-03-27,11.557504314285714,13.089
2003-03-28,9.658234314285712,14.973
2003-03-29,8.002232514285717,14.949
2003-03-30,6.68796461428572,12.453
2003-03-31,6.220825014285708,8.245
2003-04-01,4.22003229714286,7.291
2003-04-02,4.128560639999997,7.217
2003-04-03,4.149147611428573,7.217
2003-04-04,4.56743744,4.306
2003-04-05,5.15767526857143,3.915
2003-04-06,5.606611611428581,4.269
2003-04-07,6.149709954285713,2.593
2003-04-08,5.540289942857149,2.789
2003-04-09,5.986166900000009,2.447
2003-04-10,6.41899811428572,2.569
2003-04-11,6.871619057142856,2.569
2003-04-12,7.309978128571426,1.982
2003-04-13,7.713622257142853,1.982
2003-04-14,8.036449114285713,4.575
2003-04-15,6.76148778571428,5.48
2003-04-16,6.506312928571447,7.12
2003-04-17,5.939177142857131,7.144
2003-04-18,5.725323214285709,7.144
2003-04-19,5.296890428571406,7.144
2003-04-20,4.762134785714271,7.144
2003-04-21,4.771317214285708,7.168
2003-04-22,4.375974757142855,4.6
2003-04-23,4.358389714285712,4.6
2003-04-24,4.34062957142857,4.6
2003-04-25,4.315165028571427,3.083
2003-04-26,4.321793814285711,2.716
2003-04-27,4.341204899999999,2.716
2003-04-28,4.407317657142856,2.814
2003-04-29,4.197865300000001,2.544
2003-04-30,4.198269728571429,2.716
2003-05-01,4.198528442857143,2.716
2003-05-02,4.198726442857143,2.716
2003-05-03,4.1988313,2.52
2003-05-04,4.1989403,2.52
2003-05-05,4.199038728571429,2.52
2003-05-06,4.097441154285714,2.52
2003-05-07,4.1675336342857054,2.52
2003-05-08,4.238452662857144,2.52
2003-05-09,4.28983013428571,2.52
2003-05-10,4.400738177142849,2.52
2003-05-11,4.470492477142857,2.324
2003-05-12,4.5353290342857155,2.496
2003-05-13,4.588070914285714,2.496
2003-05-14,4.587601371428571,2.496
2003-05-15,4.5868354,2.496
2003-05-16,4.5865697999999995,9.224
2003-05-17,4.569976914285713,9.444
2003-05-18,4.5531706,9.444
2003-05-19,4.536350057142856,11.01
2003-05-20,3.3841771,5.064
2003-05-21,3.379183257142857,4.918
2003-05-22,3.375024014285714,4.697
2003-05-23,3.370753185714286,5.26
2003-05-24,3.365741,4.942
2003-05-25,3.3608373428571428,3.694
2003-05-26,3.3579942000000003,2.765
2003-05-27,2.8340390371428574,4.967
2003-05-28,2.7755762657142853,7.364
2003-05-29,2.6703918371428577,8.539
2003-05-30,2.663177208571429,9.958
2003-05-31,2.3998779514285715,8.098
2003-06-01,2.284669351428572,7.878
2003-06-02,2.1707267800000003,9.052
2003-06-03,2.6680910214285705,11.303
2003-06-04,2.5766668785714275,11.841
2003-06-05,2.4807356642857137,11.523
2003-06-06,2.3858323785714277,10.74
2003-06-07,2.2984145214285703,10.814
2003-06-08,2.209872092857142,10.863
2003-06-09,2.120846449999999,9.639
2003-06-10,1.6235828685714286,5.896
2003-06-11,1.6037753257142855,3.645
2003-06-12,1.5926986399999998,2.398
2003-06-13,1.5862004685714284,2.398
2003-06-14,1.580071897142857,2.814
2003-06-15,1.572182068571428,2.422
2003-06-16,1.565683897142857,2.422
2003-06-17,1.8028096285714288,2.422
2003-06-18,1.8009247428571429,2.422
2003-06-19,1.7989278,2.422
2003-06-20,1.7970556,2.226
2003-06-21,1.7953060285714284,2.177
2003-06-22,1.7935892285714286,2.177
2003-06-23,1.7918079428571427,2.202
2003-06-24,1.8658017571428571,2.226
2003-06-25,1.8655546142857145,2.251
2003-06-26,1.8652967571428571,2.251
2003-06-27,1.8650390428571428,2.251
2003-06-28,1.8647791857142857,2.251
2003-06-29,1.8645080428571428,2.251
2003-06-30,1.8642454714285712,2.251
2003-07-01,1.5829228285714283,1.835
2003-07-02,1.582696257142857,1.615
2003-07-03,1.582507542857143,1.615
2003-07-04,1.582313257142857,1.615
2003-07-05,1.5821392571428572,1.615
2003-07-06,1.5821338285714286,1.615
2003-07-07,1.5821189714285713,1.541
2003-07-08,1.622615942857143,1.346
2003-07-09,1.6223348000000002,1.346
2003-07-10,1.6220288,1.419
2003-07-11,1.6217136571428572,1.419
2003-07-12,1.621405085714286,1.419
2003-07-13,1.6206873714285714,1.395
2003-07-14,1.6207082285714287,1.419
2003-07-15,1.5596345,1.419
2003-07-16,1.5594856428571429,1.199
2003-07-17,1.5593460714285716,1.419
2003-07-18,1.5591689285714287,1.443
2003-07-19,1.5590025000000003,1.395
2003-07-20,1.5588329285714286,1.419
2003-07-21,1.5586757857142861,1.419
2003-07-22,1.6449260428571428,1.615
2003-07-23,1.6447173285714285,1.639
2003-07-24,1.6445204714285713,1.639
2003-07-25,1.644300757142857,1.664
2003-07-26,1.6442240428571429,1.639
2003-07-27,1.6441500428571427,1.664
2003-07-28,1.6440060428571428,1.664
2003-07-29,1.7101212857142856,1.664
2003-07-30,1.7099135714285716,1.664
2003-07-31,1.7097165714285716,1.664
2003-08-01,1.7095045714285717,1.664
2003-08-02,1.709315857142857,1.443
2003-08-03,1.7088675714285717,1.443
2003-08-04,1.7086077142857143,1.443
2003-08-05,1.5864516857142854,1.468
2003-08-06,1.5850744857142856,1.468
2003-08-07,1.583714885714285,1.468
2003-08-08,1.5822551857142857,1.468
2003-08-09,1.5810726857142856,1.248
2003-08-10,1.5797988857142855,1.248
2003-08-11,1.5786427857142855,1.248
2003-08-12,1.5648026714285714,1.468
2003-08-13,1.5632802714285714,1.468
2003-08-14,1.5618117714285713,1.492
2003-08-15,1.5604125714285713,1.492
2003-08-16,1.5589957714285714,1.468
2003-08-17,1.5575404714285714,1.492
2003-08-18,1.5561060714285713,1.468
2003-08-19,1.4747321714285715,0.122
2003-08-20,1.4747661714285714,0.122
2003-08-21,1.4743054714285715,2.006
2003-08-22,1.4710703714285711,1.957
2003-08-23,1.4680715714285717,1.248
2003-08-24,1.4662049714285714,1.248
2003-08-25,1.4643451714285711,1.272
2003-08-26,1.600620657142857,1.272
2003-08-27,1.5968322571428573,1.248
2003-08-28,1.5935718571428572,1.272
2003-08-29,1.5896976571428572,1.272
2003-08-30,1.585879557142857,1.248
2003-08-31,1.5821307571428571,1.272
2003-09-01,1.5788736571428572,1.272
2003-09-02,1.5284943428571425,1.272
2003-09-03,1.522878028571428,1.297
2003-09-04,1.516155014285714,1.272
2003-09-05,1.5091157999999996,1.272
2003-09-06,1.5017377999999997,1.272
2003-09-07,1.494021014285714,1.272
2003-09-08,1.485182471428571,1.248
2003-09-09,1.681357714285714,1.297
2003-09-10,1.673149714285714,1.272
2003-09-11,1.6647992142857144,1.297
2003-09-12,1.6556602142857142,1.297
2003-09-13,1.644858714285714,1.297
2003-09-14,1.6337912142857145,1.297
2003-09-15,1.6237782142857142,1.321
2003-09-16,1.7614989471428573,1.297
2003-09-17,1.7532056614285714,1.297
2003-09-18,1.7445612185714288,1.346
2003-09-19,1.7358121757142857,1.248
